trait_label,pgs_id,trained_bucket,metric,target_ancestry,tgt_log,tgt_se,tgt_k,eur_log,eur_se,eur_k,is_pooled,delta,delta_se
Type 2 diabetes,PGS001818,Train: European-only,OR,East Asian,0.5538851132264376,0.1250057388102621,1,0.4824261492442928,0.011058785937146345,1,FALSE,0.07145896398214485,0.1254939499812764
Type 2 diabetes,PGS001818,Train: European-only,OR,Hispanic or Latin American,0.37843643572024505,0.01747957817264187,1,0.4824261492442928,0.011058785937146345,1,FALSE,-0.10398971352404773,0.020684109830909424
Type 2 diabetes,PGS001818,Train: European-only,OR,South Asian,0.4762341789963717,0.03321802040778794,1,0.4824261492442928,0.011058785937146345,1,FALSE,-0.006191970247921064,0.03501047880586385
Type 2 diabetes,PGS002026,Train: European-only,OR,East Asian,0.47000362924573563,0.12166430410467075,1,0.5128236264286637,0.012222794820382028,1,FALSE,-0.042819997182928116,0.12227673370880889
Type 2 diabetes,PGS002026,Train: European-only,OR,Hispanic or Latin American,0.3987761199573678,0.01877852483246073,1,0.5128236264286637,0.012222794820382028,1,FALSE,-0.11404750647129597,0.02240601946139702
Type 2 diabetes,PGS002026,Train: European-only,OR,South Asian,0.494696241836107,0.034272462380377185,1,0.5128236264286637,0.012222794820382028,1,FALSE,-0.01812738459255675,0.03638678868539414
Apparent Treatment-Resistant Hypertension,PGS002238,Train: Multi incl. EUR,OR,African,0.04879016416943205,0.05313700081561614,1,0.10436001532424286,0.0251874593585941,1,FALSE,-0.055569851154810807,0.058804327771173615
Apparent Treatment-Resistant Hypertension,PGS002239,Train: Multi incl. EUR,OR,African,0.03922071315328133,0.053646787968459377,1,0.04879016416943205,0.024084103181396622,1,FALSE,-0.00956945101615072,0.0588049477968053
Breast cancer,PGS002242,Train: European-only,OR,African,-0.10536051565782628,0.13471107913277977,1,0.3962831519578886,0.00658962124448311,5,FALSE,-0.5016436676157149,0.13487215409143502
Breast cancer,PGS002242,Train: European-only,OR,East Asian,0.22314355131420976,0.014346866919101049,1,0.3962831519578886,0.00658962124448311,5,FALSE,-0.17313960064367884,0.0157878338773924
Breast cancer,PGS002242,Train: European-only,OR,South Asian,0.3852624007906449,0.08994939248752462,1,0.3962831519578886,0.00658962124448311,5,FALSE,-0.011020751167243714,0.09019044471018255
Epithelial non-mucinous ovarian cancer,PGS002250,Train: European-only,OR,East Asian,0.131028262406404,0.02474292499676265,1,0.3220834991691132,0.03703622700114741,1,FALSE,-0.19105523676270922,0.0445409300293106
Type 2 diabetes,PGS002308,Train: Multi incl. EUR,OR,African,0.498969921380837,0.019448167210689045,5,0.6729444732424258,0.014284252386371165,1,FALSE,-0.17397455186158878,0.02413029370091609
Type 2 diabetes,PGS002308,Train: Multi incl. EUR,OR,East Asian,0.7294772693271945,0.01689969206975257,3,0.6729444732424258,0.014284252386371165,1,FALSE,0.05653279608476869,0.02212779831546754
Type 2 diabetes,PGS002308,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.7323678937132266,0.062410652177340126,1,0.6729444732424258,0.014284252386371165,1,FALSE,0.05942342047080085,0.06402444354649621
Type 2 diabetes,PGS002671,Train: European-only,OR,East Asian,0.5481214085096876,0.12573671507125594,1,0.4382549309311553,0.011485633003559996,1,FALSE,0.1098664775785323,0.1262602125865574
Type 2 diabetes,PGS002671,Train: European-only,OR,Hispanic or Latin American,0.36464311358790924,0.017722544085399868,1,0.4382549309311553,0.011485633003559996,1,FALSE,-0.07361181734324607,0.0211189094025096
Type 2 diabetes,PGS002671,Train: European-only,OR,South Asian,0.4762341789963717,0.03321802040778794,1,0.4382549309311553,0.011485633003559996,1,FALSE,0.03797924806521641,0.035147640679065256
Type 2 diabetes,PGS002771,Train: European-only,OR,East Asian,0.494696241836107,0.13071407862587275,1,0.6348707475791507,0.009980980510085634,2,FALSE,-0.14017450574304374,0.13109458540669616
Type 2 diabetes,PGS002771,Train: European-only,OR,Hispanic or Latin American,0.5306282510621704,0.01801468551376364,1,0.6348707475791507,0.009980980510085634,2,FALSE,-0.10424249651698037,0.020594874753261178
Type 2 diabetes,PGS002771,Train: European-only,OR,South Asian,0.6151856390902335,0.03571766077212077,1,0.6348707475791507,0.009980980510085634,2,FALSE,-0.019685108488917247,0.03708599820653347
Type 2 diabetes,PGS002780,Train: European-only,OR,East Asian,0.36464311358790924,0.1229842689104797,1,0.37843643572024505,0.012275318455152666,1,FALSE,-0.013793322132335806,0.12359536335405384
Type 2 diabetes,PGS002780,Train: European-only,OR,Hispanic or Latin American,0.30010459245033816,0.016950280461263442,1,0.37843643572024505,0.012275318455152666,1,FALSE,-0.07833184326990689,0.02092834085375381
Type 2 diabetes,PGS002780,Train: European-only,OR,South Asian,0.4252677354043441,0.03339427820072832,1,0.37843643572024505,0.012275318455152666,1,FALSE,0.04683129968409905,0.035578944050140816
Type 2 diabetes,PGS003103,Train: European-only,OR,East Asian,0.4762341789963717,0.1266420628351763,1,0.5632449997246778,0.00897952442779655,2,FALSE,-0.08701082072830607,0.1269600092080106
Type 2 diabetes,PGS003103,Train: European-only,OR,Hispanic or Latin American,0.4762341789963717,0.019022626402425625,1,0.5632449997246778,0.00897952442779655,2,FALSE,-0.08701082072830607,0.021035497954544728
Type 2 diabetes,PGS003103,Train: European-only,OR,South Asian,0.5423242908253617,0.0356535567283568,1,0.5632449997246778,0.00897952442779655,2,FALSE,-0.020920708899316076,0.036766941215330265
Epithelial non-mucinous ovarian cancer,PGS003394,Train: European-only,OR,East Asian,0.1570037488096647,0.026187284199000835,1,0.3293037471426003,0.03847522697310807,1,FALSE,-0.1722999983329356,0.04654156147306858
Type 2 diabetes,PGS003443,Train: Multi incl. EUR,OR,East Asian,0.5877866649021191,0.12885075231046061,1,0.62057648772511,0.010973822725431298,1,FALSE,-0.03278982282299092,0.12931721136871482
Type 2 diabetes,PGS003443,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5709795465857378,0.018691888037328016,1,0.62057648772511,0.010973822725431298,1,FALSE,-0.049596941139372186,0.021675134684914846
Type 2 diabetes,PGS003443,Train: Multi incl. EUR,OR,South Asian,0.6471032420585384,0.036027150215898716,1,0.62057648772511,0.010973822725431298,1,FALSE,0.026526754333428437,0.03766139054639543
Colorectal cancer,PGS003852,Train: Multi incl. EUR,OR,African,0.3293037471426003,0.029396750912649153,1,0.5128236264286637,0.022860244563695672,1,FALSE,-0.18351987928606345,0.037239223216016686
Colorectal cancer,PGS003852,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.4824261492442928,0.034696876959911895,1,0.5128236264286637,0.022860244563695672,1,FALSE,-0.03039747718437097,0.041550740694760696
Type 2 diabetes,PGS003867,Train: Multi incl. EUR,OR,Hispanic or Latin American,0.5423242908253617,0.019346448059057306,1,0.6097655716208943,0.011093140800953749,1,FALSE,-0.06744128079553258,0.022301184393022425
Type 2 diabetes,PGS003867,Train: Multi incl. EUR,OR,Middle Eastern or North African,0.6043159668533296,0.025112263472768497,1,0.6097655716208943,0.011093140800953749,1,FALSE,-0.005449604767564731,0.027453297608038413
