catalog_snapshot,trait_label,trained_bucket,target_ancestry,side,evaluation_ancestry,pgs_id,pgs_name,dev_method,n_variants,performance_id,sampleset_id,auc,estimate_ci_lower,estimate_ci_upper,ci_source,n_individuals,n_cases,n_controls,pct_male,covariates_txt,cohort_txt,or_txt,hr_txt,catalog_all_of_us
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003999,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,PPM019426,PSS011227,0.64796674,0.6435976,0.65233588,reported_native_or_parsed,217530,16076,201454,0,0,FinnGen,"1.71120477 [1.68318494,1.73969104]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003999,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,PPM019428,PSS011254,0.64444249,0.6312226,0.65766239,reported_native_or_parsed,35377,1729,33648,0,0,HUNT,"1.71178877 [1.62971047,1.79800083]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS003999,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,PPM019430,PSS011268,0.65239885,0.64250552,0.66229219,reported_native_or_parsed,48968,3120,45848,0,0,UKB,"1.75341498 [1.6889839,1.82030397]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,Target,South Asian,PGS003999,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,PPM019427,PSS011238,0.63036912,0.59126423,0.66947401,reported_native_or_parsed,24319,197,24122,0,0,G&H,"1.60370665 [1.39434739,1.84450091]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,Target,South Asian,PGS003999,lassosum.auto.GCST004988.Breast_cancer,lassosum.auto,13086,PPM019429,PSS011282,0.60906318,0.56630285,0.65182352,reported_native_or_parsed,4350,196,4154,0,0,UKB,"1.48538131 [1.28422223,1.71804972]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS004025,ldpred2.auto.GCST004988.Breast_cancer,LDpred2-auto,1041298,PPM019401,PSS011215,0.64171337,0.63118121,0.65224553,reported_native_or_parsed,130758,2685,128073,0,0,EB,"1.66191221 [1.59929671,1.72697924]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS004025,ldpred2.auto.GCST004988.Breast_cancer,LDpred2-auto,1041298,PPM019402,PSS011227,0.65593151,0.65157997,0.66028305,reported_native_or_parsed,217530,16076,201454,0,0,FinnGen,"1.77035216 [1.74117276,1.80002055]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS004025,ldpred2.auto.GCST004988.Breast_cancer,LDpred2-auto,1041298,PPM019404,PSS011254,0.64862587,0.63550699,0.66174475,reported_native_or_parsed,35377,1729,33648,0,0,HUNT,"1.74007474 [1.65600677,1.82841046]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,European,European,PGS004025,ldpred2.auto.GCST004988.Breast_cancer,LDpred2-auto,1041298,PPM019406,PSS011268,0.65975886,0.65001199,0.66950573,reported_native_or_parsed,48968,3120,45848,0,0,UKB,"1.80647225 [1.73980278,1.87569651]",NA,FALSE
20260923,Breast cancer,Train: European-only,South Asian,Target,South Asian,PGS004025,ldpred2.auto.GCST004988.Breast_cancer,LDpred2-auto,1041298,PPM019403,PSS011238,0.63168898,0.59299282,0.67038513,reported_native_or_parsed,24319,197,24122,0,0,G&H,"1.61351539 [1.40208165,1.85683331]",NA,FALSE
